dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
plantnet-trunc,undercov_gap,UnderCovGap,0.2,standard,Standard,Standard,,0.297355623100304,0.8812636200584538,blue,X,0.8,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,classwise,Classwise,Classwise,,0.025805471124620068,67.60600672263068,red,X,0.8,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,classwise-exact,Exact Classwise,Exact Classwise,,0.06446808510638301,25.510589837015292,red,d,0.8,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,clustered,Clustered,Clustered,,0.3076595744680851,0.8611551372971378,purple,P,0.8,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,prevalence-adjusted,Standard w. PAS,Standard w. PAS,,0.04145896656534956,1.4096462801877818,orange,^,0.8,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,rc3p,RC3P,RC3P,,0.04033434650455928,15.03293758984136,#FF5733,D,0.8,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.297355623100304,0.8812636200584538,gray,o,0.3,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.2663829787234043,0.8938909613622446,gray,o,0.475,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.2323404255319149,0.9193471057511498,gray,o,0.6499999999999999,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.18221884498480245,0.9681005528364899,gray,o,0.825,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.13413373860182373,1.046046849961132,gray,o,0.9299999999999999,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.95,Interp-Q,cvx-cw_weight=0.95,weight=0.95,0.10677811550151979,1.1128873872504528,gray,o,0.9649999999999999,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.975,Interp-Q,cvx-cw_weight=0.975,weight=0.975,0.086048632218845,1.1828929460148436,gray,o,0.9824999999999999,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.99,Interp-Q,cvx-cw_weight=0.99,weight=0.99,0.06559270516717326,1.29190365966465,gray,o,0.9929999999999999,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=0.999,Interp-Q,cvx-cw_weight=0.999,weight=0.999,0.04313069908814591,1.663072476733531,gray,o,0.9992999999999999,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,cvx-cw_weight=1,Interp-Q,cvx-cw_weight=1,weight=1.0,0.025805471124620068,67.60600672263068,gray,o,1.0,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.019756838905775086,54.34777510455254,gray,o,0.5,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.019331306990881467,54.35143511662548,gray,o,0.5,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.02012158054711247,49.43355435212166,gray,o,0.5,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.076048632218845,1.475949615012138,gray,o,0.5,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.08911854103343467,1.3843278020732455,gray,o,0.5,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.11100303951367785,1.2939496323832769,gray,o,0.5,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.14334346504559273,1.1572795493926615,gray,o,0.5,train_mean
plantnet-trunc,undercov_gap,UnderCovGap,0.2,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.18668693009118537,1.0131467817794126,gray,o,0.5,train_mean
