dataset,coverage_metric,coverage_metric_name,alpha,method_key,method_category,method_display_name,method_params,x_value,y_value,color,marker,alpha_transparency,set_size_metric_type
plantnet,cov_below50,FracBelow50%,0.1,standard,Standard,Standard,,0.3894542090656799,1.571708665466701,blue,X,0.8,mean
plantnet,cov_below50,FracBelow50%,0.1,classwise,Classwise,Classwise,,0.0,780.1710915402417,red,X,0.8,mean
plantnet,cov_below50,FracBelow50%,0.1,clustered,Clustered,Clustered,,0.39777983348751156,1.5693623039341733,purple,P,0.8,mean
plantnet,cov_below50,FracBelow50%,0.1,rc3p,RC3P,RC3P,,0.15541165587419056,120.66196322962202,#FF5733,D,0.8,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-30,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,0.0,718.3909745435844,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-15,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,0.0,718.7179866289534,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-10,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,0.0027752081406105457,676.1269606582669,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1e-05,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,0.12488436632747456,5.019028027770635,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.0001,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,0.1332099907493062,4.278734893288763,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.001,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,0.1683626271970398,3.353689894574441,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,0.23219241443108232,2.6865518128053485,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-0.1,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,0.299722479185939,2.2195615839547442,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-10,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,0.3987049028677151,1.571676523527899,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-rarity-1000,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,0.40333024976873266,1.540530984829005,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-30,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,0.0,797.7760671123682,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-15,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,0.0,797.7760671123682,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-10,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,0.0018501387604070306,767.9982643353047,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1e-05,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,0.12858464384828863,4.884706865518128,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.0001,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,0.13598519888991675,4.177552069940859,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.001,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,0.17391304347826086,3.3165338133196194,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,0.22664199814986125,2.813544613011057,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-0.1,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,0.2969472710453284,2.2991450244278733,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-10,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,0.3681776133209991,1.7055476986371818,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,fuzzy-RErarity-1000,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,0.3894542090656799,1.5699408588326047,gray,o,0.5,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0,Interp-Q,cvx-cw_weight=0,weight=0.0,0.3894542090656799,1.571708665466701,gray,o,0.3,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0.25,Interp-Q,cvx-cw_weight=0.25,weight=0.25,0.37280296022201664,1.557887631781949,gray,o,0.475,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0.5,Interp-Q,cvx-cw_weight=0.5,weight=0.5,0.3506012950971323,1.63216765235279,gray,o,0.6499999999999999,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0.75,Interp-Q,cvx-cw_weight=0.75,weight=0.75,0.30619796484736356,1.8449794291591668,gray,o,0.825,mean
plantnet,cov_below50,FracBelow50%,0.1,cvx-cw_weight=0.9,Interp-Q,cvx-cw_weight=0.9,weight=0.9,0.2479185938945421,2.239746721522242,gray,o,0.9299999999999999,mean
